id,marital,sex,head,earnmost,workstatus,occ,owner,ind,size,employed,regular,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,workdaypermonth,workhourperweek,overworkperweek,paidoverworkperweek,year,age
1,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,76
2,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,34
3,1,2,1,1,3,3,1,6,2,5,5,1,4,88888,888888,740,88888,10,10,999,999,2012,61
4,1,1,1,1,1,10,2,4,5,5,1,3,1,477,888888,888888,88888,20,10,2,0,2012,39
5,1,1,1,1,1,10,4,15,3,5,2,2,1,500,888888,888888,88888,26,66,26,0,2012,46
6,1,1,1,1,1,5,2,5,5,5,2,2,1,590,888888,888888,88888,20,50,15,0,2012,54
7,1,1,1,0,1,3,2,16,4,5,7,3,1,210,888888,888888,88888,25,56,999,0,2012,64
8,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,36
10,1,1,1,1,2,10,3,15,9,5,1,5,1,700,888888,888888,88888,30,60,999,15,2012,65
11,1,2,0,0,5,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,39
12,1,2,0,0,1,3,2,6,2,5,5,1,4,88888,888888,800,88888,23,24,0,0,2012,61
13,1,1,1,1,1,3,1,6,1,1,8,5,1,250,888888,888888,88888,27,12,999,0,2012,49
14,1,1,1,1,1,7,2,10,3,5,2,5,3,88888,8000,888888,88888,24,100,30,5,2012,47
15,1,1,1,1,1,6,2,6,5,5,2,3,1,423,888888,888888,88888,22,40,0,0,2012,57
16,1,2,0,0,3,8,3,10,1,6,8,2,4,88888,888888,900,88888,22,15,999,999,2012,37
17,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,46
19,1,1,1,1,1,10,1,4,1,1,8,3,1,300,888888,888888,88888,26,9,999,999,2012,40
20,1,1,1,1,1,3,1,6,1,1,8,5,9,88888,888888,888888,88888,25,56,999,0,2012,57
22,1,2,0,0,3,1,1,1,2,5,5,5,1,45,888888,888888,88888,15,14,0,0,2012,37
23,1,2,0,0,1,8,1,5,1,3,8,5,1,100,888888,888888,88888,20,7,999,999,2012,56
24,1,2,0,0,3,6,2,16,3,5,5,1,4,88888,888888,800,88888,10,24,0,0,2012,64
25,1,1,1,1,1,8,1,4,2,1,8,5,3,88888,15000,888888,88888,18,48,999,999,2012,41
26,1,1,1,1,1,10,2,6,4,6,8,5,4,88888,888888,2000,88888,15,30,0,0,2012,65
27,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,41
29,1,2,0,0,3,99,3,16,5,6,8,1,4,88888,888888,760,88888,20,38,0,999,2012,69
31,1,1,1,1,1,5,2,5,2,5,2,1,1,800,888888,888888,88888,21,55,7,0,2012,69
33,2,1,1,1,3,8,1,4,1,1,8,5,1,200,888888,888888,88888,15,32,0,0,2012,60
34,1,1,1,1,1,4,3,14,2,6,8,9,9,88888,888888,888888,88888,99,999,999,999,2012,66
35,1,2,0,0,3,6,1,16,1,3,8,5,1,88,888888,888888,88888,15,10,0,0,2012,43
38,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,74
39,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,46
40,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,72
41,1,1,1,1,1,7,2,10,5,5,2,3,1,400,888888,888888,88888,20,55,20,999,2012,30
42,1,1,0,0,1,7,2,10,5,5,1,3,1,250,888888,888888,88888,20,50,10,0,2012,42
43,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,72
44,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,31
45,1,2,0,0,3,6,2,8,5,5,6,9,9,88888,888888,888888,88888,99,999,999,999,2012,45
46,1,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,64
47,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,71
48,1,2,0,0,1,10,1,14,2,5,5,1,1,110,888888,888888,88888,22,20,999,999,2012,38
50,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,69
52,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,41
54,1,1,1,1,1,7,2,10,4,5,4,1,1,250,888888,888888,88888,25,81,14,0,2012,47
55,1,1,1,1,5,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2012,62
56,1,1,1,0,1,11,3,16,4,6,8,5,4,88888,888888,900,88888,10,12,999,999,2012,73
