id,marital,sex,head,earnmost,edbg,workstatus,occ,owner,ind,size,employed,regular,empsinceyear,empsincemonth,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,bonus,workdaypermonth,workhourperweek,overworkperweek,year,age
2169,1,1,1,1,2,1,3,2,6,3,5,1,1978,8,1,1,370,888888,888888,88888,76,26,75,999,2009,61
2170,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,35
2171,1,2,0,0,2,3,6,2,8,5,5,5,2000,4,2,4,88888,888888,900,88888,5,16,80,999,2009,59
2172,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,66
2173,1,1,1,1,4,1,5,2,5,4,5,1,2006,4,1,5,88888,888888,888888,900,200,20,45,5,2009,39
2174,1,1,1,1,4,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,73
2175,1,2,0,0,2,3,4,2,6,5,5,5,2008,5,1,4,88888,888888,855,88888,0,20,22,0,2009,38
2176,1,2,0,0,3,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,44
2177,1,2,0,0,4,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,56
2178,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,62
2179,1,1,1,1,2,1,8,2,4,2,5,2,2006,4,1,1,900,888888,888888,88888,0,26,999,999,2009,54
2180,1,1,1,1,3,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,79
2181,1,2,0,0,4,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,35
2182,1,2,0,0,2,3,6,1,12,1,5,9,2008,4,5,4,88888,888888,1000,88888,3,99,999,999,2009,53
2183,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,73
2184,1,1,1,1,2,3,10,1,12,2,6,8,2008,5,1,1,100,888888,888888,88888,60,4,3,0,2009,65
2185,1,2,0,0,4,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,33
2186,1,2,0,0,4,1,6,3,14,4,5,7,2006,4,1,1,350,888888,888888,88888,0,20,38,0,2009,63
2187,1,1,1,1,4,1,8,2,4,2,5,1,1980,4,3,1,480,888888,888888,88888,0,25,48,2,2009,53
2188,1,2,0,0,3,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,31
2189,1,2,0,0,4,1,6,4,15,6,5,4,2007,4,2,1,300,888888,888888,88888,80,20,40,0,2009,45
2190,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,67
2191,1,1,1,1,4,1,9,2,5,5,5,1,1993,4,3,1,500,888888,888888,88888,200,22,45,5,2009,38
2192,1,1,1,1,4,1,6,2,5,5,5,2,1990,4,2,1,468,888888,888888,88888,233,20,60,20,2009,44
2193,1,1,1,1,2,1,6,2,5,5,5,7,1958,4,2,1,161,888888,888888,88888,30,15,24,0,2009,66
2194,1,2,0,0,3,1,10,1,14,2,5,1,1996,4,3,1,150,888888,888888,88888,67,22,50,8,2009,53
2195,1,1,1,0,2,1,3,1,6,1,1,8,9999,99,5,9,88888,888888,888888,88888,99999,27,68,999,2009,63
2196,1,1,1,1,2,1,8,2,5,2,5,1,2003,99,1,5,88888,888888,888888,460,60,14,112,0,2009,53
2197,1,1,1,1,5,1,9,2,11,3,5,1,2008,8,1,1,397,888888,888888,88888,0,21,41,999,2009,36
2198,1,1,1,1,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,77
2199,1,2,0,0,4,1,6,1,7,2,5,4,2000,2,5,1,150,888888,888888,88888,0,22,40,0,2009,37
2200,1,2,0,0,3,3,6,1,9,1,5,5,2008,2,1,4,88888,888888,715,88888,0,20,120,999,2009,43
2201,1,2,0,0,2,3,3,2,6,2,5,5,1998,3,1,4,88888,888888,830,88888,0,10,12,0,2009,61
2202,1,1,1,1,4,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,76
2203,1,2,1,1,4,3,6,1,4,1,5,5,2005,1,1,4,88888,888888,850,88888,0,12,24,999,2009,56
2204,1,2,0,0,4,3,10,1,15,1,1,8,1984,10,1,1,30,888888,888888,88888,0,16,20,999,2009,66
2205,1,1,1,1,4,1,6,2,4,2,5,1,1991,5,1,1,250,888888,888888,88888,30,20,30,999,2009,69
2206,1,2,0,0,1,3,8,2,6,2,5,5,1990,99,2,2,120,888888,888888,88888,4,22,31,1,2009,59
2207,1,2,0,0,2,3,4,3,15,1,5,5,1975,9,5,4,88888,888888,600,88888,0,10,5,999,2009,60
2208,1,1,1,0,6,1,6,1,4,1,1,8,2006,10,5,1,200,888888,888888,88888,10,25,90,42,2009,44
2209,1,1,1,1,4,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,82
2210,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,36
2211,1,2,0,0,2,6,88,8,88,8,8,8,8888,88,8,8,88888,888888,888888,88888,88888,88,888,888,2009,65
2212,1,1,1,1,2,1,10,2,13,2,5,2,1988,8,3,1,320,888888,888888,88888,0,26,65,999,2009,40
