id,marital,sex,head,earnmost,workstatus,occ,owner,ind,size,employed,regular,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,bonus,workdaypermonth,workhourperweek,overworkperweek,year,age
20001,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,45
20003,1,2,0,0,3,10,4,15,6,5,5,2,4,88888,888888,980,88888,0,15,18,0,2009,43
20005,1,2,0,0,3,8,2,5,4,5,5,1,4,88888,888888,780,88888,0,21,7,0,2009,40
20007,1,2,0,0,3,10,9,16,4,6,8,1,4,88888,888888,4500,88888,0,3,5,999,2009,36
20008,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,74
20009,1,1,1,1,1,6,2,5,5,5,9,1,1,300,888888,888888,88888,100,20,40,0,2009,38
20011,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,68
20013,2,1,0,0,1,8,1,4,1,5,1,1,1,350,888888,888888,88888,0,24,50,12,2009,39
20015,1,1,1,1,1,9,2,11,5,5,2,3,1,600,888888,888888,88888,300,20,55,18,2009,35
20017,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,69
20018,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,65
20022,2,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,70
20023,1,2,1,1,1,12,3,18,5,5,1,3,1,262,888888,888888,88888,99,22,38,3,2009,30
20024,1,2,0,0,3,6,2,5,4,5,5,1,4,88888,888888,940,88888,0,20,25,999,2009,50
20026,2,2,0,0,1,3,1,6,1,1,8,5,1,150,888888,888888,88888,0,29,60,999,2009,62
20029,1,2,0,0,3,3,2,9,5,5,5,2,1,40,888888,888888,88888,0,8,14,0,2009,45
20030,2,1,0,0,1,8,3,16,4,5,5,2,4,88888,888888,900,88888,1,5,20,3,2009,35
20031,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,71
20032,1,2,0,0,1,4,1,16,2,1,8,9,9,88888,888888,888888,88888,99999,99,999,999,2009,40
20033,2,1,0,0,3,10,1,16,2,6,8,9,3,88888,10000,888888,88888,0,10,8,0,2009,29
20035,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,61
20036,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,72
20039,2,1,1,1,1,10,1,5,1,2,8,5,9,88888,888888,888888,88888,0,20,40,999,2009,38
20042,2,2,1,1,1,10,4,17,2,5,4,1,4,88888,888888,1010,88888,9,20,40,0,2009,42
20044,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,64
20046,2,1,1,1,1,7,2,10,4,5,1,3,1,335,888888,888888,88888,45,12,63,0,2009,59
20051,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,68
20052,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,70
20053,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,71
20054,1,1,1,0,1,3,1,6,1,5,7,9,5,88888,888888,888888,600,0,17,25,999,2009,67
20055,1,1,1,1,1,5,4,14,6,5,2,2,1,690,888888,888888,88888,250,21,40,0,2009,59
20060,2,2,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,62
20061,1,2,0,0,3,10,2,14,3,5,5,1,4,88888,888888,1400,88888,1,22,4,999,2009,47
20065,1,1,1,1,1,8,2,10,4,5,4,1,1,450,888888,888888,88888,0,25,50,999,2009,57
20070,2,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,73
20071,1,1,1,1,1,3,1,6,2,5,2,1,1,400,888888,888888,88888,150,20,50,999,2009,40
20076,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,36
20077,1,1,1,1,1,3,1,6,1,1,8,5,1,458,888888,888888,88888,0,6,40,999,2009,50
20082,1,1,1,1,1,10,1,4,2,5,1,3,1,300,888888,888888,88888,70,25,48,999,2009,29
20083,1,1,1,1,1,8,2,5,1,5,1,1,1,250,888888,888888,88888,45,21,40,0,2009,51
20086,2,1,1,0,1,3,2,6,5,5,5,2,4,88888,888888,800,88888,2,20,40,1,2009,56
20087,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,62
20090,1,2,0,0,3,4,2,6,4,5,5,2,9,88888,888888,888888,88888,0,99,999,999,2009,64
20092,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,46
20093,1,2,0,0,4,3,2,8,5,5,1,3,1,100,888888,888888,88888,3,5,35,999,2009,34
20094,1,2,0,0,1,6,2,5,3,5,5,1,4,88888,888888,950,88888,0,20,40,0,2009,47
20095,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,64
20096,1,1,1,1,1,8,2,4,4,5,1,2,1,280,888888,888888,88888,20,20,48,8,2009,31
20097,1,1,1,1,1,6,2,16,5,5,2,3,1,650,888888,888888,88888,200,23,60,10,2009,46
20098,1,1,1,1,1,10,4,17,6,5,1,3,1,330,888888,888888,88888,134,20,45,5,2009,33
20099,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,68
20100,1,2,0,0,3,3,2,6,4,5,6,9,4,88888,888888,1060,88888,0,12,19,0,2009,49
20101,1,1,1,1,1,10,2,5,4,5,1,3,1,350,888888,888888,88888,160,22,66,999,2009,38
20102,1,2,0,0,3,4,2,7,1,5,5,1,4,88888,888888,1120,88888,0,20,20,0,2009,60
20103,2,2,0,0,4,99,9,99,9,9,8,5,9,88888,888888,888888,88888,0,20,30,999,2009,25
20104,2,2,0,0,1,4,2,16,3,6,8,1,3,88888,18000,888888,88888,0,15,40,0,2009,34
20106,1,2,0,0,3,4,2,6,5,3,8,3,4,88888,888888,1025,88888,0,20,20,0,2009,37
20108,1,1,1,1,1,7,2,10,5,5,2,3,1,450,888888,888888,88888,140,30,65,25,2009,45
20109,1,2,0,0,3,6,1,5,2,3,8,1,1,85,888888,888888,88888,0,20,50,999,2009,66
20110,1,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,59
20111,1,2,0,0,3,4,2,16,4,5,5,1,4,88888,888888,800,88888,0,12,72,999,2009,51
20112,2,1,0,0,1,8,2,10,4,5,5,9,4,88888,888888,900,88888,250,20,45,5,2009,37
20113,1,2,0,0,3,4,1,14,2,5,5,1,4,88888,888888,1000,88888,0,22,10,999,2009,63
20115,1,2,0,0,1,4,2,7,3,5,2,1,1,210,888888,888888,88888,99999,20,37,0,2009,52
20117,1,1,1,1,1,8,2,10,3,5,1,1,1,99999,888888,888888,88888,35,25,60,999,2009,41
20118,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,69
20119,1,2,0,0,1,6,2,8,5,5,4,3,3,88888,7320,888888,88888,5,20,30,0,2009,50
20120,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,34
20124,1,2,0,0,1,4,1,7,2,1,8,5,1,500,888888,888888,88888,0,25,999,999,2009,64
20127,1,2,0,0,1,6,4,17,6,5,5,2,4,88888,888888,900,88888,0,20,29,0,2009,48
20128,1,1,1,0,1,10,2,9,2,5,5,1,1,200,888888,888888,88888,0,24,40,0,2009,67
20129,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,65
20131,1,1,1,1,1,10,2,15,3,5,1,3,1,250,888888,888888,88888,0,22,50,10,2009,51
20134,2,1,0,0,1,6,3,18,1,5,1,1,4,88888,888888,1200,88888,0,20,50,10,2009,33
20135,2,1,1,1,1,10,2,12,5,5,1,3,1,450,888888,888888,88888,80,22,65,25,2009,32
20136,1,2,0,0,3,6,1,14,2,5,5,1,4,88888,888888,930,88888,6,5,24,999,2009,44
20137,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,33
20138,1,1,1,1,1,10,3,14,3,5,1,1,1,270,888888,888888,88888,85,20,40,5,2009,29
20141,1,2,0,0,3,6,1,14,2,5,5,5,4,88888,888888,930,88888,6,21,20,0,2009,49
20142,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,73
20143,1,2,0,0,3,3,1,6,2,3,8,5,1,150,888888,888888,88888,0,20,5,999,2009,50
20146,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,41
20148,1,2,0,1,1,12,4,17,6,5,2,2,1,550,888888,888888,88888,193,20,60,20,2009,51
20149,1,1,1,1,1,8,1,4,2,5,5,5,3,88888,7500,888888,88888,0,25,42,0,2009,60
20150,2,2,1,1,1,4,1,16,1,1,8,5,1,150,888888,888888,88888,0,22,50,999,2009,57
20151,1,1,1,0,1,10,1,16,1,6,8,5,1,200,888888,888888,88888,0,14,38,999,2009,53
20152,1,1,1,1,1,3,2,6,2,5,1,1,1,245,888888,888888,88888,3,24,12,999,2009,43
20153,1,2,0,0,3,3,2,16,4,5,5,1,4,88888,888888,800,88888,0,16,20,0,2009,36
20154,1,2,0,0,3,6,2,6,1,5,5,1,4,88888,888888,960,88888,12,18,14,0,2009,58
20155,2,1,1,1,1,8,2,5,3,5,1,1,1,300,888888,888888,88888,30,22,10,2,2009,33
20156,1,1,1,1,1,3,1,6,1,1,8,5,1,166,888888,888888,88888,0,24,66,999,2009,58
20157,1,1,1,1,1,7,2,10,2,5,1,1,1,277,888888,888888,88888,13,26,45,0,2009,42
20160,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,57
20163,1,1,1,1,1,4,2,6,4,5,1,3,1,250,888888,888888,88888,40,24,8,0,2009,60
20164,2,2,0,1,1,10,3,14,2,5,1,1,1,188,888888,888888,88888,60,23,48,999,2009,28
20165,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,59
20167,1,1,1,1,1,8,3,16,5,6,8,5,4,88888,888888,840,88888,0,18,20,999,2009,72
20168,1,1,0,0,1,6,1,18,1,1,8,9,1,500,888888,888888,88888,100,23,40,0,2009,35
20170,1,2,0,0,1,6,2,16,3,9,8,9,1,900,888888,888888,88888,0,23,30,999,2009,61
20173,1,1,1,1,1,12,2,8,5,5,7,1,1,250,888888,888888,88888,18,13,24,0,2009,65
20174,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,68
20175,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,51
20178,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2009,25
20180,1,2,0,0,3,4,1,9,1,3,8,5,1,80,888888,888888,88888,0,30,21,0,2009,67
20181,1,2,0,0,1,4,2,6,5,5,5,2,4,88888,888888,980,88888,4,23,16,0,2009,56
