id,marital,sex,earnmost,workstatus,occ,owner,ind,size,employed,regular,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,bonus,workdaypermonth,workhourperweek,overworkperweek,head,year,age
20001,1,2,0,1,3,2,8,5,5,1,3,1,150,888888,888888,88888,0,20,40,999,0,2006,42
20002,1,1,1,1,7,2,10,5,5,1,3,1,350,888888,888888,88888,200,20,80,999,1,2006,43
20003,1,2,0,3,10,4,15,6,5,5,2,4,88888,888888,870,88888,0,15,16,999,0,2006,40
20004,1,2,0,1,4,2,16,3,5,9,1,4,88888,888888,800,88888,0,22,23,999,0,2006,65
20005,1,2,0,3,4,2,16,4,5,5,1,4,88888,888888,760,88888,0,20,20,2,0,2006,37
20007,1,2,0,3,10,9,16,4,6,8,1,4,88888,888888,4000,88888,99999,3,6,999,0,2006,33
20008,1,1,1,1,11,2,16,3,5,5,5,3,88888,8000,888888,88888,0,14,999,999,1,2006,71
20009,1,1,1,1,6,2,5,5,5,1,3,1,300,888888,888888,88888,60,20,38,999,1,2006,35
20011,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,65
20013,2,1,0,1,8,1,4,1,5,1,1,1,330,888888,888888,88888,0,23,50,8,0,2006,36
20014,2,2,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,22
20015,1,1,1,1,9,2,11,5,5,2,3,1,600,888888,888888,88888,200,20,60,20,1,2006,32
20017,1,1,1,1,8,1,13,1,6,8,1,3,88888,10000,888888,88888,0,13,24,0,1,2006,66
20018,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,62
20020,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,64
20022,2,2,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,67
20023,1,2,1,1,3,3,18,5,5,1,3,1,367,888888,888888,88888,83,19,55,15,1,2006,27
20024,1,2,0,3,6,2,5,4,5,5,1,4,88888,888888,1050,88888,0,20,23,1,0,2006,47
20026,2,2,1,3,3,1,6,1,1,8,5,1,99999,888888,888888,88888,0,29,999,999,1,2006,59
20027,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,64
20029,1,2,0,3,12,2,11,3,4,8,2,1,50,888888,888888,88888,0,16,4,999,0,2006,42
20030,2,1,0,1,12,1,16,1,1,8,5,9,88888,888888,888888,88888,0,20,20,0,0,2006,32
20031,2,2,1,1,6,3,4,1,5,1,1,1,170,888888,888888,88888,50,20,999,0,1,2006,68
20032,1,2,0,1,4,1,16,1,3,8,1,1,150,888888,888888,88888,0,22,58,999,0,2006,37
20033,2,1,0,5,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,26
20035,2,2,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,58
20036,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,69
20038,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,70
20039,2,1,1,1,10,1,5,1,2,8,5,9,88888,888888,888888,88888,0,10,999,999,1,2006,35
20041,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,68
20042,1,2,0,1,10,1,14,2,5,5,1,4,88888,888888,850,88888,0,15,20,0,0,2006,39
20043,1,2,0,1,4,1,16,1,3,8,5,1,100,888888,888888,88888,0,25,999,999,0,2006,62
20044,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,61
20045,2,1,1,1,12,1,18,1,6,8,5,1,50,888888,888888,88888,0,5,8,999,1,2006,46
20046,2,1,1,1,7,2,10,4,5,1,3,1,310,888888,888888,88888,74,12,66,999,1,2006,56
20048,1,1,1,1,10,2,5,5,5,1,1,1,320,888888,888888,88888,50,20,48,8,1,2006,38
20051,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,65
20052,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,67
20053,2,2,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,68
20054,1,1,1,1,10,2,6,1,5,7,1,1,380,888888,888888,88888,0,20,40,2,1,2006,64
20055,1,1,1,1,5,4,14,6,5,2,2,1,600,888888,888888,88888,200,22,50,10,1,2006,56
20056,2,2,0,1,6,2,6,3,5,1,1,1,200,888888,888888,88888,46,22,999,999,0,2006,23
20059,1,1,1,1,10,2,4,4,5,2,2,1,523,888888,888888,88888,292,20,40,0,1,2006,59
20060,2,2,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,59
20061,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,44
20065,1,1,1,1,8,2,10,3,5,1,1,1,500,888888,888888,88888,0,26,10,999,1,2006,54
20068,1,1,1,1,4,1,16,2,5,1,3,1,478,888888,888888,88888,108,26,77,12,1,2006,32
20070,2,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,70
20071,1,1,1,1,6,2,6,4,5,1,1,1,400,888888,888888,88888,100,20,999,999,1,2006,37
20074,1,1,1,1,11,4,17,6,5,1,1,1,400,888888,888888,88888,200,20,50,10,1,2006,56
20075,1,1,1,5,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,67
20076,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,33
20077,1,1,1,1,3,1,6,1,1,8,5,1,500,888888,888888,88888,120,25,48,999,1,2006,47
20080,1,1,1,1,5,2,5,4,5,3,1,1,1000,888888,888888,88888,300,21,45,5,1,2006,61
20081,2,1,0,1,8,2,16,4,5,1,1,1,200,888888,888888,88888,30,14,40,0,0,2006,26
20082,1,1,1,1,8,1,13,2,5,1,1,1,200,888888,888888,88888,50,25,54,0,1,2006,26
20083,1,1,1,1,8,2,5,2,5,1,1,1,285,888888,888888,88888,60,21,48,8,1,2006,48
20085,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,71
20086,2,1,1,1,3,2,6,4,5,4,2,4,88888,888888,1000,88888,0,20,40,0,1,2006,53
20087,2,2,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,59
20088,1,1,1,1,8,1,4,1,1,8,1,3,88888,18000,888888,88888,0,20,40,999,1,2006,39
20089,1,1,1,1,6,2,12,5,5,1,2,5,88888,888888,888888,500,110,22,40,0,1,2006,63
20090,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,61
20092,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,43
20093,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,31
20094,1,2,0,1,6,2,5,3,5,5,1,4,88888,888888,900,88888,0,20,40,0,0,2006,44
20095,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,61
20096,1,1,1,1,10,2,4,4,5,1,4,1,180,888888,888888,88888,35,18,7,1,1,2006,28
20097,1,1,1,1,6,2,16,5,5,2,1,1,450,888888,888888,88888,100,22,999,999,1,2006,43
20098,1,1,1,1,10,4,17,6,5,1,3,1,300,888888,888888,88888,120,5,50,5,1,2006,30
20099,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,65
20100,1,2,0,3,6,2,18,4,6,8,5,4,88888,888888,1060,88888,0,13,18,999,0,2006,46
20101,1,1,1,1,10,2,5,4,5,1,3,1,330,888888,888888,88888,154,21,45,999,1,2006,35
20102,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,57
20103,2,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,22
20104,2,2,0,1,4,2,16,3,5,6,1,3,88888,13000,888888,88888,0,15,35,2,0,2006,31
20105,2,2,0,1,4,2,7,4,5,5,1,4,88888,888888,1000,88888,0,22,10,999,0,2006,22
20106,1,2,0,3,4,2,6,9,5,5,2,4,88888,888888,900,88888,0,15,16,999,0,2006,34
20108,1,1,1,1,7,2,10,5,5,2,3,1,420,888888,888888,88888,100,22,75,35,1,2006,42
20109,1,2,0,3,6,1,5,2,3,8,1,1,85,888888,888888,88888,0,20,60,999,0,2006,63
20110,1,2,0,3,10,1,15,1,6,8,5,3,88888,10000,888888,88888,0,3,999,999,0,2006,56
20111,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,48
20112,2,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,34
20113,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,60
20115,1,2,0,1,4,4,17,6,5,5,2,4,88888,888888,1210,88888,180,20,40,0,0,2006,49
20117,1,1,1,1,8,2,6,4,5,1,1,1,400,888888,888888,88888,50,25,60,15,1,2006,38
20118,2,2,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,66
20119,1,2,0,1,6,2,8,5,5,4,2,4,88888,888888,1140,88888,5,20,34,4,0,2006,47
20120,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,31
20124,1,2,0,1,4,1,7,2,3,8,1,1,400,888888,888888,88888,0,25,12,999,0,2006,61
20126,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,65
20127,1,2,0,1,10,4,17,6,5,5,2,4,88888,888888,900,88888,0,20,29,0,0,2006,45
20128,1,1,1,1,10,2,9,2,5,1,1,1,150,888888,888888,88888,0,23,40,0,1,2006,64
20129,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,62
20130,1,2,0,3,6,1,4,1,3,8,5,1,100,888888,888888,88888,0,20,12,0,0,2006,61
20131,1,1,1,1,10,2,15,3,5,1,3,1,230,888888,888888,88888,0,23,999,999,1,2006,48
20132,2,2,0,1,4,1,16,1,1,8,5,1,120,888888,888888,88888,0,23,50,999,0,2006,30
20134,2,1,0,1,6,2,16,4,5,1,1,4,88888,888888,1250,88888,0,20,60,15,0,2006,30
20135,2,1,1,1,9,2,11,4,5,1,1,1,291,888888,888888,88888,80,20,55,11,1,2006,29
20136,1,2,0,3,6,1,14,2,5,5,1,4,88888,888888,850,88888,0,20,20,999,0,2006,41
20137,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,30
20138,1,1,1,1,3,2,14,5,5,2,3,1,210,888888,888888,88888,0,30,60,0,1,2006,26
20141,1,2,0,3,10,1,14,2,5,5,1,4,88888,888888,900,88888,6,20,20,0,0,2006,46
20142,1,1,1,3,11,3,16,3,6,8,5,3,88888,4000,888888,88888,0,10,10,999,1,2006,70
20143,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,47
20146,1,2,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,38
20148,1,2,0,1,6,4,17,6,5,1,2,1,500,888888,888888,88888,180,20,45,5,0,2006,48
20149,1,1,1,1,8,2,5,2,5,1,1,3,88888,10000,888888,88888,0,20,30,0,1,2006,57
20150,1,2,0,1,4,1,16,1,3,8,5,1,200,888888,888888,88888,0,21,50,999,0,2006,54
20151,1,1,1,1,10,1,16,1,1,8,5,1,400,888888,888888,88888,0,17,48,999,1,2006,50
20152,1,1,1,1,3,2,6,3,5,1,1,1,300,888888,888888,88888,0,23,12,12,1,2006,40
20153,1,2,0,3,8,2,5,3,4,8,5,1,30,888888,888888,88888,0,28,35,999,0,2006,33
20154,1,2,0,3,6,1,6,1,5,5,1,4,88888,888888,960,88888,16,18,16,0,0,2006,55
20155,1,1,1,1,8,2,5,3,5,1,1,1,300,888888,888888,88888,0,23,45,5,1,2006,30
20156,1,1,1,1,3,1,6,1,1,8,1,9,88888,888888,888888,88888,0,23,55,999,1,2006,55
20157,1,1,1,1,7,2,10,2,5,1,1,1,300,888888,888888,88888,10,26,72,999,1,2006,39
20160,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,54
20163,1,1,1,1,3,2,99,4,5,1,1,1,250,888888,888888,88888,50,24,60,999,1,2006,57
20164,2,2,0,1,10,3,14,2,5,1,1,1,225,888888,888888,88888,50,23,40,0,0,2006,25
20165,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,56
20167,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,69
20168,1,1,1,1,6,1,16,1,1,8,1,1,300,888888,888888,88888,100,22,40,0,1,2006,32
20169,1,1,0,1,8,2,5,4,5,2,1,1,450,888888,888888,88888,160,22,999,999,0,2006,58
20170,1,2,0,1,6,2,16,3,5,3,5,1,900,888888,888888,88888,0,23,30,999,0,2006,58
20172,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,69
20173,1,1,1,1,12,2,8,4,5,7,1,1,250,888888,888888,88888,0,3,20,0,1,2006,62
20174,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,65
20175,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,48
20176,1,1,0,1,11,4,17,6,5,2,2,1,500,888888,888888,88888,180,20,36,999,0,2006,54
20177,1,2,0,1,4,2,16,5,5,4,1,1,90,888888,888888,88888,0,20,30,0,0,2006,57
20178,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,22
20179,2,2,0,1,6,2,6,5,5,6,1,4,88888,888888,1500,88888,0,20,36,0,0,2006,25
20180,1,2,0,3,10,1,14,2,6,8,5,4,88888,888888,1000,88888,0,99,999,999,0,2006,64
20181,1,2,0,1,4,2,14,4,5,5,2,4,88888,888888,900,88888,1,20,40,0,0,2006,53
20182,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,1,2006,69
20183,2,1,1,1,8,2,4,1,5,1,1,2,52,888888,888888,88888,99999,21,40,999,1,2006,58
20184,1,1,1,1,5,2,5,5,5,2,2,5,88888,888888,888888,1168,0,20,38,0,1,2006,49
20185,1,1,1,1,3,1,6,1,1,8,1,1,180,888888,888888,88888,0,29,10,0,1,2006,58
20186,1,1,1,1,8,1,4,1,6,8,5,3,88888,20000,888888,88888,0,10,25,0,1,2006,54
20187,1,1,0,1,7,2,8,5,5,4,2,1,300,888888,888888,88888,60,20,40,0,0,2006,57
20188,1,1,1,1,8,1,5,1,1,8,5,1,200,888888,888888,88888,0,25,999,999,1,2006,71
20189,1,2,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,0,2006,53
20191,1,2,0,3,4,2,6,4,5,5,3,4,88888,888888,800,88888,60,17,6,0,0,2006,32
20192,2,1,0,1,3,2,6,4,5,2,1,1,230,888888,888888,88888,180,20,50,1,0,2006,41
20193,1,2,0,3,6,1,5,1,4,8,5,1,60,888888,888888,88888,0,5,4,999,0,2006,62
20194,2,2,0,1,4,2,16,4,5,1,3,1,200,888888,888888,88888,60,20,40,1,0,2006,26
20195,1,2,0,1,6,2,11,4,5,5,1,1,86,888888,888888,88888,0,17,28,1,0,2006,48
20197,1,1,1,1,3,1,9,1,1,8,5,9,88888,888888,888888,88888,0,20,32,999,1,2006,58
20199,2,2,0,1,3,2,6,3,5,2,1,1,165,888888,888888,88888,15,21,40,3,0,2006,26
20200,1,1,1,1,5,2,5,5,5,3,2,1,800,888888,888888,88888,300,20,999,999,1,2006,69
20201,1,1,1,1,3,2,6,4,5,2,3,1,250,888888,888888,88888,0,20,11,999,1,2006,34
20202,2,2,0,4,6,2,16,5,5,6,2,1,210,888888,888888,88888,0,20,40,10,0,2006,31
20203,1,2,0,3,4,1,16,2,5,7,1,1,20,888888,888888,88888,0,12,4,999,0,2006,33
20204,1,1,1,1,3,1,6,1,1,8,5,1,200,888888,888888,88888,0,20,50,0,1,2006,63
20205,2,1,1,1,4,1,16,1,1,8,5,1,150,888888,888888,88888,0,25,60,0,1,2006,36
20206,1,1,1,1,6,2,8,5,5,1,3,5,88888,888888,888888,650,0,25,48,0,1,2006,59
20207,2,2,0,1,6,2,9,2,5,6,5,4,88888,888888,1600,88888,0,20,42,2,0,2006,25
20208,1,2,0,1,4,1,16,1,3,8,1,1,200,888888,888888,88888,0,25,48,0,0,2006,49
20209,2,1,0,1,3,1,6,2,3,8,5,1,200,888888,888888,88888,30,25,70,0,0,2006,23
20211,1,2,0,4,10,3,14,3,5,1,2,1,200,888888,888888,88888,80,20,32,0,0,2006,30
20212,1,1,1,1,6,2,5,3,5,1,1,1,330,888888,888888,88888,86,20,50,0,1,2006,44
20214,1,2,0,3,3,1,6,2,5,5,2,4,88888,888888,900,88888,0,12,15,0,0,2006,36
20215,1,2,0,1,4,1,16,1,5,5,4,4,88888,888888,850,88888,0,22,88,0,0,2006,36
20217,1,1,1,1,6,2,8,5,5,1,3,1,350,888888,888888,88888,100,27,72,30,1,2006,29
