id,marital,sex,head,earnmost,workstatus,occ,owner,ind,size,employed,regular,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,bonus,workdaypermonth,workhourperweek,overworkperweek,year,age
20001,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,46
20003,1,2,0,0,1,10,4,15,4,5,5,1,4,88888,888888,980,88888,0,14,18,0,2010,44
20005,1,2,0,0,1,8,2,5,4,5,5,1,4,88888,888888,780,88888,0,20,37,1,2010,41
20007,1,2,0,0,4,10,3,16,4,6,8,1,1,30,888888,888888,88888,0,3,6,999,2010,37
20008,1,1,1,1,5,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,75
20009,1,1,1,1,1,6,2,5,5,5,2,3,1,300,888888,888888,88888,50,20,999,999,2010,39
20011,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,69
20013,2,1,0,0,1,8,1,4,1,5,1,1,1,333,888888,888888,88888,0,6,60,10,2010,40
20015,1,1,1,1,1,9,2,11,5,5,2,3,1,600,888888,888888,88888,300,20,45,7,2010,36
20017,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,70
20018,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,66
20023,1,2,1,1,1,12,3,18,5,5,1,3,1,280,888888,888888,88888,70,22,30,0,2010,31
20024,1,2,0,0,3,6,2,5,4,5,5,9,4,88888,888888,940,88888,0,20,38,0,2010,51
20026,2,2,1,1,1,3,1,6,1,1,8,5,1,150,888888,888888,88888,0,29,60,999,2010,63
20029,1,2,0,0,3,3,2,9,2,5,5,1,1,60,888888,888888,88888,0,12,21,0,2010,46
20030,2,1,0,1,1,6,1,6,2,5,5,5,4,88888,888888,800,88888,0,26,6,999,2010,36
20031,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,72
20032,1,2,0,0,1,4,1,16,2,3,8,5,1,100,888888,888888,88888,0,6,66,7,2010,41
20033,2,1,1,1,3,10,1,16,2,6,8,9,1,60,888888,888888,88888,0,7,8,0,2010,30
20035,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,62
20036,1,1,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,73
20042,2,2,1,1,1,10,4,17,6,5,4,1,4,88888,888888,1050,88888,30,23,40,0,2010,43
20044,1,1,1,0,9,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,65
20046,2,1,1,1,1,7,2,10,4,5,1,3,1,280,888888,888888,88888,63,12,63,0,2010,60
20051,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,69
20052,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,71
20053,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,72
20054,1,1,1,1,1,10,2,6,1,5,4,1,1,400,888888,888888,88888,0,22,30,0,2010,68
20055,1,1,1,1,1,5,4,14,6,5,2,2,1,600,888888,888888,88888,250,20,50,10,2010,60
20060,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,63
20061,1,2,0,0,3,10,2,14,3,5,5,9,4,88888,888888,1400,88888,2,17,14,999,2010,48
20065,1,1,1,1,1,8,2,10,3,5,4,1,1,450,888888,888888,88888,0,25,55,0,2010,58
20070,2,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,74
20071,1,1,1,1,1,3,2,6,4,5,2,9,1,410,888888,888888,88888,100,20,50,999,2010,41
20076,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,37
20077,1,1,1,1,1,3,1,6,1,1,8,5,1,655,888888,888888,88888,0,25,40,0,2010,51
20082,1,1,1,1,1,8,1,13,1,5,1,3,1,330,888888,888888,88888,70,25,55,7,2010,30
20083,1,1,1,1,1,8,2,5,1,5,1,1,1,230,888888,888888,88888,0,21,40,0,2010,52
20086,2,1,1,1,1,3,2,6,5,5,5,2,1,245,888888,888888,88888,3,20,40,1,2010,57
20087,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,63
20090,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,65
20092,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,47
20093,1,2,0,0,4,3,2,8,5,5,1,3,9,88888,888888,888888,88888,0,22,35,0,2010,35
20094,1,2,0,0,1,6,2,5,3,5,5,1,4,88888,888888,950,88888,0,20,40,0,2010,48
20095,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,65
20096,1,1,1,1,1,8,2,4,4,5,1,2,1,250,888888,888888,88888,125,20,38,2,2010,32
20097,1,1,1,1,1,6,2,12,5,5,2,4,1,630,888888,888888,88888,180,20,55,15,2010,47
20098,1,1,1,1,1,10,4,17,6,5,1,3,1,360,888888,888888,88888,155,22,42,2,2010,34
20099,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,69
20100,1,2,0,0,3,6,2,6,4,5,6,5,9,88888,888888,888888,88888,0,13,18,0,2010,50
20101,1,1,1,1,1,10,2,5,4,5,1,3,1,366,888888,888888,88888,160,22,60,0,2010,39
20102,1,2,0,0,3,4,2,7,1,5,5,1,4,88888,888888,1120,88888,1,20,20,999,2010,61
20104,2,2,0,0,1,4,2,16,3,6,8,1,3,88888,15000,888888,88888,0,10,24,999,2010,35
20106,1,2,0,0,3,4,2,6,5,5,5,3,4,88888,888888,1200,88888,0,20,20,10,2010,38
20108,1,1,1,1,1,7,2,10,5,5,1,3,1,450,888888,888888,88888,100,22,65,25,2010,46
20109,1,2,0,0,3,6,1,5,2,3,8,5,1,85,888888,888888,88888,0,20,50,999,2010,67
20110,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2010,60
20111,1,2,0,0,3,4,2,16,4,5,5,1,4,88888,888888,800,88888,0,12,18,0,2010,52
20112,2,1,1,0,1,8,2,10,4,5,5,1,1,200,888888,888888,88888,3,20,50,30,2010,38
