id,marital,sex,head,earnmost,workstatus,occ,owner,ind,size,employed,regular,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,bonus,workdaypermonth,workhourperweek,overworkperweek,year,age
20001,1,2,0,0,3,4,2,14,5,5,5,1,4,88888,888888,1600,88888,0,24,30,0,2012,48
20003,1,2,0,0,1,10,4,15,6,5,5,1,4,88888,888888,1000,88888,0,15,24,999,2012,46
20005,1,2,0,0,3,8,2,5,3,5,5,2,4,88888,888888,780,88888,0,20,35,0,2012,43
20007,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,39
20008,1,1,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,77
20009,1,1,1,1,1,8,2,5,5,5,2,1,1,300,888888,888888,88888,60,22,40,3,2012,41
20011,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,71
20013,2,1,1,1,1,8,1,4,1,9,8,5,1,400,888888,888888,88888,0,24,48,6,2012,42
20015,1,1,1,1,1,9,2,11,5,5,2,2,1,676,888888,888888,88888,341,20,55,999,2012,38
20017,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,72
20018,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,68
20022,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,73
20023,1,2,1,1,1,6,3,16,5,5,1,3,1,375,888888,888888,88888,93,22,40,5,2012,33
20024,1,2,0,0,3,6,2,5,4,5,5,1,4,88888,888888,880,88888,1,20,26,0,2012,53
20026,2,2,1,1,1,3,1,6,1,1,8,5,1,150,888888,888888,88888,0,30,56,999,2012,65
20029,1,2,0,0,3,6,1,9,2,5,5,9,4,88888,888888,800,88888,0,11,21,999,2012,48
20030,2,1,0,0,1,8,1,16,1,1,8,5,4,88888,888888,850,88888,1,6,3,0,2012,38
20031,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,74
20032,1,2,0,0,1,4,1,16,1,3,8,5,1,100,888888,888888,88888,0,24,72,999,2012,43
20033,2,1,0,0,3,10,1,16,1,6,8,1,3,88888,8000,888888,88888,0,3,999,999,2012,32
20035,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,64
20036,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,75
20044,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,67
20051,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,71
20052,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,73
20053,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,74
20054,1,1,1,0,1,3,2,6,1,6,8,1,1,333,888888,888888,88888,200,20,30,0,2012,70
20055,1,1,1,1,1,10,3,14,5,5,2,2,1,300,888888,888888,88888,120,20,40,0,2012,62
20060,2,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,65
20061,1,2,0,0,3,4,2,14,3,5,5,1,4,88888,888888,1050,88888,0,12,24,0,2012,50
20070,2,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,76
20071,1,1,1,1,1,3,2,6,4,5,2,3,1,452,888888,888888,88888,80,99,999,999,2012,43
20076,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,39
20077,1,1,1,1,1,3,1,6,1,1,8,5,1,625,888888,888888,88888,0,25,60,999,2012,53
20082,1,1,1,1,1,8,1,4,2,5,1,3,1,330,888888,888888,88888,70,25,48,6,2012,32
20083,1,1,1,1,1,8,2,5,4,5,5,1,4,88888,888888,900,88888,0,20,75,15,2012,54
20086,2,1,1,0,1,4,2,16,3,6,8,1,4,88888,888888,800,88888,0,17,54,2,2012,59
20090,1,2,0,0,3,4,3,16,3,6,8,1,4,88888,888888,800,88888,0,14,16,0,2012,67
20092,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,49
20093,1,2,0,0,3,4,2,15,3,5,5,1,4,88888,888888,800,88888,0,12,13,0,2012,37
20094,1,2,0,0,1,6,2,5,3,5,5,1,4,88888,888888,950,88888,0,20,40,0,2012,50
20095,1,2,0,0,9,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,67
20096,1,1,1,0,1,8,2,4,4,5,1,2,1,180,888888,888888,88888,20,20,40,1,2012,34
20097,1,1,1,1,1,6,2,16,5,5,2,3,1,600,888888,888888,88888,160,16,50,3,2012,49
20098,1,1,1,1,1,10,4,17,6,5,2,3,1,410,888888,888888,88888,138,22,50,5,2012,36
20099,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,71
20100,1,2,0,0,3,6,2,6,4,5,6,9,4,88888,888888,1060,88888,0,12,18,0,2012,52
20101,1,1,1,1,1,10,2,5,4,5,1,3,1,356,888888,888888,88888,123,22,60,999,2012,41
20102,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,63
20104,2,2,0,0,1,4,2,16,3,6,8,1,3,88888,15000,888888,88888,0,15,30,0,2012,37
20106,1,2,0,0,3,4,2,16,4,5,4,1,1,210,888888,888888,88888,0,22,35,0,2012,40
20108,1,1,1,1,1,7,2,10,5,5,2,3,1,450,888888,888888,88888,110,22,65,25,2012,48
20109,1,2,0,0,3,6,1,5,2,3,8,1,1,85,888888,888888,88888,0,20,45,999,2012,69
20110,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,62
20111,1,2,0,0,3,4,2,16,4,5,5,1,1,56,888888,888888,88888,0,15,20,0,2012,54
20112,2,1,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,40
20115,1,2,0,0,1,4,4,7,4,5,2,1,1,245,888888,888888,88888,0,21,40,0,2012,55
20117,1,1,1,1,1,8,2,10,4,5,9,1,1,350,888888,888888,88888,15,25,60,10,2012,44
20118,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,72
20119,1,2,0,0,3,6,2,8,5,5,4,3,4,88888,888888,1261,88888,4,20,33,3,2012,53
20120,1,2,0,0,3,3,2,6,4,5,5,1,4,88888,888888,730,88888,4,22,18,1,2012,37
20124,1,2,0,0,3,4,1,7,2,3,8,5,1,85,888888,888888,88888,0,26,60,999,2012,67
20127,1,2,0,0,1,10,4,17,6,5,5,2,4,88888,888888,900,88888,0,20,29,0,2012,51
20129,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,68
20131,1,1,1,1,1,10,2,15,2,5,2,3,1,200,888888,888888,88888,0,22,50,10,2012,54
20135,2,1,1,1,1,9,2,11,5,5,1,3,5,88888,888888,888888,530,120,23,67,27,2012,35
20136,1,2,0,0,3,6,1,14,2,5,5,1,4,88888,888888,1000,88888,0,20,33,0,2012,47
20137,1,2,0,0,3,3,2,6,5,5,5,9,4,88888,888888,780,88888,0,20,20,0,2012,36
20141,1,2,0,0,3,10,1,14,2,5,5,9,4,88888,888888,1000,88888,6,21,23,0,2012,52
20142,1,1,1,1,3,12,4,11,6,6,8,5,9,88888,888888,888888,88888,0,99,999,999,2012,76
20143,1,2,0,0,3,3,1,6,2,3,8,5,1,150,888888,888888,88888,0,28,24,0,2012,53
20146,1,2,0,0,3,3,2,6,3,5,5,2,4,88888,888888,800,88888,0,4,20,0,2012,44
20148,1,2,0,1,1,6,4,17,6,5,2,2,1,99999,888888,888888,88888,189,20,60,20,2012,54
20149,1,1,1,1,4,99,9,99,9,9,8,9,9,88888,888888,888888,88888,99999,99,999,999,2012,63
20150,2,2,1,1,1,4,1,16,1,1,8,5,1,180,888888,888888,88888,0,22,55,999,2012,60
20151,1,1,1,1,1,8,1,16,1,1,8,5,1,400,888888,888888,88888,0,15,42,999,2012,56
20152,2,1,1,1,1,3,2,16,3,5,1,1,3,88888,13000,888888,88888,0,24,72,999,2012,46
20153,1,2,0,0,3,10,2,5,4,5,5,1,4,88888,888888,800,88888,0,20,26,1,2012,39
20154,1,2,0,0,3,6,2,6,1,5,5,1,4,88888,888888,960,88888,20,18,14,0,2012,61
20156,1,1,1,1,1,3,1,6,1,1,8,5,9,88888,888888,888888,88888,99999,24,55,0,2012,61
20160,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,60
20163,1,1,1,0,3,4,2,6,4,5,5,9,4,88888,888888,1000,88888,0,15,20,0,2012,63
20164,2,2,0,1,1,10,3,14,2,5,1,1,1,190,888888,888888,88888,60,24,42,0,2012,31
20165,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,62
20167,1,1,1,1,1,8,3,16,5,6,8,1,4,88888,888888,840,88888,0,18,16,0,2012,75
20168,1,1,1,1,1,10,1,16,1,1,8,5,1,500,888888,888888,88888,50,23,45,5,2012,38
20173,1,1,1,1,1,12,2,8,4,5,7,2,1,250,888888,888888,88888,13,13,24,0,2012,68
20174,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,71
20178,1,2,0,0,3,3,2,6,5,5,5,2,4,88888,888888,800,88888,5,17,21,999,2012,28
20180,1,2,0,0,3,4,1,9,1,3,8,1,1,80,888888,888888,88888,0,30,14,999,2012,70
20181,1,2,0,0,1,3,2,6,5,5,5,2,4,88888,888888,1000,88888,3,22,40,5,2012,59
20183,2,1,1,1,1,8,1,4,2,5,1,1,1,280,888888,888888,88888,0,20,40,0,2012,64
20186,1,1,1,1,1,8,1,4,1,1,8,9,1,120,888888,888888,88888,0,15,40,0,2012,60
20188,1,1,1,1,5,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,77
20189,1,2,1,1,1,4,1,7,1,5,5,1,1,100,888888,888888,88888,0,20,25,0,2012,59
20191,1,2,0,0,1,3,2,6,5,5,5,3,4,88888,888888,872,88888,0,18,27,999,2012,38
20192,2,1,0,1,1,99,9,6,4,5,2,1,1,300,888888,888888,88888,100,20,40,0,2012,47
20193,2,2,1,1,4,1,1,1,2,1,8,5,4,88888,888888,700,88888,0,25,24,0,2012,68
20194,1,2,0,0,1,6,2,11,2,5,4,9,4,88888,888888,1550,88888,0,20,40,0,2012,32
20195,1,2,1,0,1,6,2,8,5,5,4,1,4,88888,888888,1120,88888,20,20,42,2,2012,54
20197,1,1,1,1,1,3,1,9,1,1,8,5,9,88888,888888,888888,88888,0,20,6,999,2012,64
20199,2,2,0,0,1,3,2,6,5,5,4,3,4,88888,888888,1300,88888,0,22,42,2,2012,32
20201,1,1,1,1,1,3,9,6,3,5,2,9,1,300,888888,888888,88888,0,30,10,999,2012,40
20202,2,2,0,0,1,10,3,14,5,5,6,9,1,200,888888,888888,88888,99999,20,35,1,2012,37
20203,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,39
20204,1,1,1,1,1,3,1,6,1,1,8,5,1,300,888888,888888,88888,0,25,42,999,2012,69
20205,1,1,1,1,1,4,1,16,1,3,8,1,9,88888,888888,888888,88888,99999,26,60,0,2012,42
20207,1,2,0,0,3,3,2,6,4,5,5,1,4,88888,888888,1000,88888,0,15,20,0,2012,31
20208,1,2,0,0,1,4,1,16,1,3,8,5,5,88888,888888,888888,240,0,25,42,999,2012,55
20209,2,1,0,0,1,3,1,6,1,3,8,3,1,350,888888,888888,88888,80,25,78,0,2012,29
20212,1,1,1,1,1,6,2,5,3,5,2,1,1,339,888888,888888,88888,75,22,50,999,2012,50
20214,1,2,0,0,1,3,2,6,4,5,5,1,4,88888,888888,1000,88888,1,18,25,0,2012,42
20215,1,2,0,0,1,6,2,6,4,5,4,3,1,215,888888,888888,88888,39,22,43,6,2012,42
20217,1,1,1,1,1,6,2,8,5,5,1,3,1,700,888888,888888,88888,250,22,48,8,2012,35
20218,1,1,1,1,1,8,9,4,9,5,7,1,1,258,888888,888888,88888,0,25,50,0,2012,62
20219,1,2,0,0,1,6,1,4,2,5,2,1,1,230,888888,888888,88888,0,20,30,999,2012,47
20220,1,1,1,1,1,8,1,4,1,1,8,5,9,88888,888888,888888,88888,99999,20,30,999,2012,71
20221,1,2,0,0,1,10,4,15,3,5,9,1,1,230,888888,888888,88888,0,23,25,999,2012,46
20224,1,1,1,0,1,4,1,7,1,1,8,5,1,200,888888,888888,88888,0,25,66,999,2012,70
20226,2,1,1,1,1,8,1,5,1,1,8,5,9,88888,888888,888888,88888,99999,22,40,0,2012,46
20227,1,2,0,0,3,4,2,16,3,5,5,5,4,88888,888888,1050,88888,0,3,10,0,2012,47
20228,2,2,1,1,5,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,57
20230,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,42
20240,1,1,1,1,1,5,3,16,1,5,1,1,1,80,888888,888888,88888,0,20,25,0,2012,75
20241,1,1,1,1,1,9,2,11,3,5,2,1,1,450,888888,888888,88888,90,20,55,15,2012,46
20242,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,77
20245,2,1,1,1,1,4,2,16,5,5,4,1,1,165,888888,888888,88888,29,26,46,6,2012,62
20250,1,2,0,0,5,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,46
20252,1,1,1,1,1,4,1,7,1,1,8,5,5,88888,888888,888888,99999,0,25,30,0,2012,77
20253,2,2,1,1,1,10,2,5,5,5,6,1,4,88888,888888,2000,88888,0,20,40,2,2012,45
20254,2,2,0,0,1,10,3,15,3,5,1,1,1,250,888888,888888,88888,50,24,50,5,2012,29
20256,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,69
20258,1,2,0,0,3,10,3,15,3,5,4,3,1,300,888888,888888,88888,60,24,40,999,2012,43
20261,1,1,1,1,1,6,2,5,5,5,2,1,1,450,888888,888888,88888,90,20,40,0,2012,34
20263,1,1,1,1,1,10,4,15,3,5,2,2,1,500,888888,888888,88888,200,25,50,10,2012,45
20268,1,2,0,0,3,4,1,7,1,5,5,2,4,88888,888888,950,88888,0,4,8,999,2012,52
20269,1,1,1,1,1,6,4,17,6,5,7,3,1,99999,888888,888888,88888,24,12,24,999,2012,62
20272,1,2,0,0,1,3,2,6,5,5,5,1,4,88888,888888,1000,88888,0,16,4,0,2012,33
20273,1,1,1,1,1,8,2,4,1,5,1,1,1,350,888888,888888,88888,20,25,40,0,2012,42
20274,2,2,1,1,3,4,2,16,3,5,5,1,1,200,888888,888888,88888,0,20,50,0,2012,61
20275,1,1,1,1,1,10,3,14,4,5,2,1,1,280,888888,888888,88888,0,20,45,5,2012,46
20276,1,1,1,1,1,6,2,16,4,5,2,1,1,510,888888,888888,88888,0,20,50,10,2012,42
20278,1,1,1,1,1,3,2,6,5,5,2,3,5,88888,888888,888888,753,173,27,78,999,2012,41
20280,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,42
20283,1,1,1,1,1,5,2,8,5,5,2,2,5,88888,888888,888888,1194,150,99,999,999,2012,51
20285,1,2,0,0,3,4,1,16,2,5,5,1,4,88888,888888,850,88888,0,16,15,0,2012,45
20286,2,2,0,0,1,6,2,8,5,5,7,2,1,270,888888,888888,88888,0,5,42,2,2012,46
20287,1,1,1,1,1,8,1,4,2,5,2,5,1,460,888888,888888,88888,90,25,56,0,2012,46
20288,1,1,0,0,3,4,2,16,4,5,5,5,4,88888,888888,850,88888,0,26,18,999,2012,61
20291,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,60
20293,1,1,1,1,1,11,2,16,5,5,1,3,1,421,888888,888888,88888,46,24,65,20,2012,59
20297,1,2,0,0,3,8,2,6,4,5,5,2,4,88888,888888,900,88888,0,15,16,0,2012,37
20299,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,72
20300,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,71
20303,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,74
20308,1,1,1,1,1,6,1,16,2,2,8,5,1,500,888888,888888,88888,50,25,40,999,2012,66
20309,1,2,0,0,3,6,1,9,1,3,8,5,9,88888,888888,888888,88888,0,99,999,999,2012,77
20313,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,29
20315,1,1,1,1,1,6,2,6,3,5,1,9,1,410,888888,888888,88888,0,24,44,0,2012,62
20318,1,2,0,0,1,10,3,14,4,5,2,1,1,380,888888,888888,88888,50,23,40,0,2012,50
20322,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,51
20324,1,2,0,0,3,6,2,6,2,5,5,1,4,88888,888888,1050,88888,4,12,18,0,2012,60
20325,1,2,0,0,4,6,2,4,5,5,1,3,9,88888,888888,888888,88888,53,21,30,0,2012,37
20327,2,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,54
20328,1,2,0,0,1,4,2,16,1,5,1,1,1,167,888888,888888,88888,0,25,49,999,2012,30
20330,2,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,68
20331,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,73
20333,2,1,1,1,1,4,1,16,1,1,8,5,1,370,888888,888888,88888,0,24,60,999,2012,47
20334,1,2,0,0,3,6,2,6,4,5,5,2,4,88888,888888,1000,88888,0,13,21,0,2012,44
20335,2,1,1,1,1,4,2,7,3,5,2,1,1,340,888888,888888,88888,0,25,65,999,2012,35
20338,1,1,1,1,1,10,4,15,6,5,1,2,1,320,888888,888888,88888,120,22,65,20,2012,39
20339,2,2,1,0,5,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2012,35
20340,1,2,1,1,1,6,2,12,4,5,4,1,4,88888,888888,1320,88888,0,20,8,0,2012,59
