id,marital,sex,head,earnmost,workstatus,occ,owner,ind,size,employed,regular,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,bonus,workdaypermonth,workhourperweek,overworkperweek,year,age
20001,1,2,0,0,1,4,2,14,5,5,5,1,4,88888,888888,1600,88888,0,20,40,999,2014,50
20007,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2014,41
20008,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2014,79
20009,1,1,1,1,1,6,2,5,5,5,2,1,1,350,888888,888888,88888,80,20,40,3,2014,43
20011,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2014,73
20013,2,1,1,1,1,8,1,4,1,5,3,1,1,300,888888,888888,88888,0,25,50,5,2014,44
20015,1,1,1,1,1,9,2,11,5,5,2,2,1,766,888888,888888,88888,346,20,68,30,2014,40
20017,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2014,74
20018,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2014,70
20022,2,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2014,75
20023,1,2,0,0,1,6,3,16,5,5,1,3,1,338,888888,888888,88888,59,22,42,7,2014,35
20024,1,2,0,0,1,99,9,99,9,5,6,1,4,88888,888888,900,88888,0,20,20,0,2014,55
20026,2,2,0,0,1,3,1,6,1,1,8,9,9,88888,888888,888888,88888,0,26,8,999,2014,67
20029,1,2,0,0,3,6,1,9,2,5,5,1,1,75,888888,888888,88888,0,11,21,0,2014,50
20030,2,1,1,1,1,4,1,16,1,1,8,5,4,88888,888888,1000,88888,0,6,4,1,2014,40
20031,2,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88888,88,888,888,2014,76
